id,beach_gr,beach_en,island,region_file,has_photo,photo_source
2225,Βαθύ Πηγάδι,Vathy Pigadi,Αγαθονήσι,south-aegean-agathonisi,no,
2226,Γαδουρόλακκος,Gadourolakkos,Αγαθονήσι,south-aegean-agathonisi,no,
2227,Πάλος,Palos,Αγαθονήσι,south-aegean-agathonisi,no,
2228,Παραλία Σπηλιάς,Paralia Spilias,Αγαθονήσι,south-aegean-agathonisi,yes,by-id:geo-verified
2229,Τσαγκάρι,Tsagkari,Αγαθονήσι,south-aegean-agathonisi,yes,by-id:geo-verified
1420,Άγιος Αντώνιος,Agios Antonios,Άγιος Ευστράτιος,north-aegean-agios-efstratios,no,
1419,Άγιος Δημήτριος,Agios Dimitrios,Άγιος Ευστράτιος,north-aegean-agios-efstratios,no,
1421,Άγιος Νικόλαος,Agios Nikolaos,Άγιος Ευστράτιος,north-aegean-agios-efstratios,no,
1422,Αλονίτσι,Alonitsi,Άγιος Ευστράτιος,north-aegean-agios-efstratios,no,
1423,Γουρνιά,Gournia,Άγιος Ευστράτιος,north-aegean-agios-efstratios,no,
1424,Λιδαριό,Lidario,Άγιος Ευστράτιος,north-aegean-agios-efstratios,no,
1425,Μουρούλια,Mouroulia,Άγιος Ευστράτιος,north-aegean-agios-efstratios,yes,by-id:geo-verified
1430,Ροδοκάλι,Rodokali,Άγιος Ευστράτιος,north-aegean-agios-efstratios,no,
1426,Τρηγάρη,Trigari,Άγιος Ευστράτιος,north-aegean-agios-efstratios,no,
1427,Τρυπητή,Trypiti,Άγιος Ευστράτιος,north-aegean-agios-efstratios,no,
1428,Φράγκου,Fragkou,Άγιος Ευστράτιος,north-aegean-agios-efstratios,no,
1429,Φτελιό,Ftelio,Άγιος Ευστράτιος,north-aegean-agios-efstratios,no,
95,Απόνησος,Aponisos,Αγκίστρι,attica-agistri,yes,attica:agistri
96,Δραγονέρα,Dragonera,Αγκίστρι,attica-agistri,yes,by-id:geo-verified
97,Ξεκοφτή,Xekofti,Αγκίστρι,attica-agistri,no,
98,Παραλία Μεγαλοχωρίου,Paralia Megalochoriou,Αγκίστρι,attica-agistri,no,
99,Σκληρή,Skliri,Αγκίστρι,attica-agistri,yes,by-id:geo-verified
100,Χαλικιάδα,Chalikiada,Αγκίστρι,attica-agistri,yes,by-id:geo-verified
81,Αγία Μαρίνα,Agia Marina,Αίγινα,attica-aegina,yes,by-id:geo-verified
3024,Αίγινα Αγ. Βασίλειος,Aigina Ag. Vasilios,Αίγινα,attica-aegina,no,
3022,Αίγινα Μαραθώνας,Aigina Marathonas,Αίγινα,attica-aegina,no,
82,Αιγινήτισσα,Aiginitissa,Αίγινα,attica-aegina,no,
83,Αύρα,Avra,Αίγινα,attica-aegina,yes,attica:aegina
84,Βοτσαλωτή Παραλία,Votsaloti Paralia,Αίγινα,attica-aegina,yes,by-id:geo-verified
85,Κλειδί,Klidi,Αίγινα,attica-aegina,no,
86,Λουτρά,Loutra,Αίγινα,attica-aegina,no,
80,Παραλία Βαγίας,Paralia Vagias,Αίγινα,attica-aegina,yes,by-id:geo-verified
87,Παραλία Ζινόβι,Paralia Zinovi,Αίγινα,attica-aegina,yes,by-id:geo-verified
88,Παραλία Καμάρες,Paralia Kamares,Αίγινα,attica-aegina,no,
89,Παραλία Κολώνα,Paralia Kolona,Αίγινα,attica-aegina,yes,attica:aegina
90,Παραλία Μαραθώνα Α,Paralia Marathona A,Αίγινα,attica-aegina,no,
91,Παραλία Μαραθώνα Β,Paralia Marathona V,Αίγινα,attica-aegina,no,
92,Παραλία Σαρπά,Paralia Sarpa,Αίγινα,attica-aegina,no,
94,Σουβάλα,Souvala,Αίγινα,attica-aegina,yes,by-id:geo-verified
93,Τούρλος,Tourlos,Αίγινα,attica-aegina,no,
2526,Αγριλιά,Agrilia,Αιτωλοακαρνανία,west-greece-aetolia-acarnania-mainland,no,
3044,Άκτιο Βόνιτσας Αγ. Δημήτριος,Aktio Vonitsas Ag. Dimitrios,Αιτωλοακαρνανία,west-greece-aetolia-acarnania-mainland,no,
3045,Άκτιο Βόνιτσας Πάλαιρος,Aktio Vonitsas Palairos,Αιτωλοακαρνανία,west-greece-aetolia-acarnania-mainland,no,
2528,Ασπρογιάλι,Asprogiali,Αιτωλοακαρνανία,west-greece-aetolia-acarnania-mainland,no,
1153,Ασπρογιαλός,Asprogialos,Αιτωλοακαρνανία,west-greece-aetolia-acarnania-mainland,no,
2529,Βαθιά Βάλη,Vathia Vali,Αιτωλοακαρνανία,west-greece-aetolia-acarnania-mainland,no,
2530,Βελά,Vela,Αιτωλοακαρνανία,west-greece-aetolia-acarnania-mainland,no,
2531,Γιάννιτσα,Giannitsa,Αιτωλοακαρνανία,west-greece-aetolia-acarnania-mainland,no,
2532,Γρίμποβο,Grimpovo,Αιτωλοακαρνανία,west-greece-aetolia-acarnania-mainland,no,
2533,Λούρος,Louros,Αιτωλοακαρνανία,west-greece-aetolia-acarnania-mainland,no,
2534,Μαραθάκι,Marathaki,Αιτωλοακαρνανία,west-greece-aetolia-acarnania-mainland,no,
2535,Μαραθιάς,Marathias,Αιτωλοακαρνανία,west-greece-aetolia-acarnania-mainland,no,
3017,Μεσολόγγι Τουρλίδα,Mesolongi Tourlida,Αιτωλοακαρνανία,west-greece-aetolia-acarnania-mainland,yes,by-id:geo-verified
2536,Μυρτάρι,Myrtari,Αιτωλοακαρνανία,west-greece-aetolia-acarnania-mainland,no,
2537,Μυρτιά,Myrtia,Αιτωλοακαρνανία,west-greece-aetolia-acarnania-mainland,no,
2538,Παλιονήσι,Palionisi,Αιτωλοακαρνανία,west-greece-aetolia-acarnania-mainland,no,
2539,Παλιοπόταμος,Paliopotamos,Αιτωλοακαρνανία,west-greece-aetolia-acarnania-mainland,no,
2540,Παραθάλασσο,Parathalasso,Αιτωλοακαρνανία,west-greece-aetolia-acarnania-mainland,yes,by-id:geo-verified
2542,Παραλία Αγ. Σπυρίδωνα Λουτρακίου,Paralia Ag. Spyridona Loutrakiou,Αιτωλοακαρνανία,west-greece-aetolia-acarnania-mainland,no,
2544,Παραλία Αγίου Ιωάννη,Paralia Agiou Ioanni,Αιτωλοακαρνανία,west-greece-aetolia-acarnania-mainland,no,
2545,Παραλία Αμφιλοχίας,Paralia Amfilochias,Αιτωλοακαρνανία,west-greece-aetolia-acarnania-mainland,yes,by-id:geo-verified
2547,Παραλία Βαθυαβάλι,Paralia Vathyavali,Αιτωλοακαρνανία,west-greece-aetolia-acarnania-mainland,no,
2548,Παραλία Βλυχά,Paralia Vlycha,Αιτωλοακαρνανία,west-greece-aetolia-acarnania-mainland,no,
2549,Παραλία Διόνι,Paralia Dioni,Αιτωλοακαρνανία,west-greece-aetolia-acarnania-mainland,no,
2551,Παραλία Κατεργάκι,Paralia Katergaki,Αιτωλοακαρνανία,west-greece-aetolia-acarnania-mainland,no,
2552,Παραλία Κουλούρι,Paralia Koulouri,Αιτωλοακαρνανία,west-greece-aetolia-acarnania-mainland,no,
3144,Παραλία Κρυονέρι,Paralia Kryoneri,Αιτωλοακαρνανία,west-greece-aetolia-acarnania-mainland,no,
2553,Παραλία Λιμνοπούλα,Paralia Limnopoula,Αιτωλοακαρνανία,west-greece-aetolia-acarnania-mainland,no,
2554,Παραλία Λουτρακίου,Paralia Loutrakiou,Αιτωλοακαρνανία,west-greece-aetolia-acarnania-mainland,yes,by-id:geo-verified
3145,Παραλία Μύτικας,Paralia Mytikas,Αιτωλοακαρνανία,west-greece-aetolia-acarnania-mainland,no,
2555,Παραλία Πλατανίτη,Paralia Plataniti,Αιτωλοακαρνανία,west-greece-aetolia-acarnania-mainland,yes,by-id:geo-verified
2556,Παραλία Ρίζας,Paralia Rizas,Αιτωλοακαρνανία,west-greece-aetolia-acarnania-mainland,no,
2558,Παραλία Ρούγας,Paralia Rougas,Αιτωλοακαρνανία,west-greece-aetolia-acarnania-mainland,no,
2559,Παραλία Τουρλίδας,Paralia Tourlidas,Αιτωλοακαρνανία,west-greece-aetolia-acarnania-mainland,no,
